"author","influenced"
"Robert A. Heinlein","Edgar Rice Burroughs|Talbot Mundy|David D. Friedman|Dean Koontz|George R. R. Martin|Iain Banks|Jerry Pournelle|Larry Niven|Neil Gaiman|Tom Clancy|Allen Steele|Spider Robinson|John Varley (author)"
"Tatsuo Hori","Kiyoshi Jinzai"
"Petrarch","Ovid"
"Therese Albertine Luise Robinson","Longfellow"
"Gregor Strniša","Dane Zajc|France Balantič|Veno Taufer|Jože Snoj|Svetlana Makarovič|Rudi Šeligo|Boris A. Novak|Milan Dekleva"
"Johann Georg Hamann","Georg Wilhelm Friedrich Hegel|Søren Kierkegaard|Friedrich Heinrich Jacobi|Friedrich Wilhelm Joseph Schelling|Johann Wolfgang von Goethe|Johann Gottfried Herder"
"Caroline Leakey","Marcus Clarke"
"Luís de Sttau Monteiro","Gil Vicente"
"Edmund Burke","Friedrich Hayek|Immanuel Kant|John Stuart Mill|Karl Popper|Russell Kirk|John Maynard Keynes|Robert Peel|W. B. Yeats|William Ewart Gladstone|Joseph de Maistre|William Godwin|John Dalberg-Acton, 1st Baron Acton|William F. Buckley, Jr.|Peter Hitchens|Matthew Arnold|Roger Scruton|Hannah Arendt"
"Boris Pahor","Edvard Kocbek|Srečko Kosovel|France Bevk|Alojz Rebula|Drago Jančar"
"Walter Benjamin","Theodor W. Adorno"
"Francisco Suárez","Gottfried Wilhelm Leibniz|René Descartes|Martin Heidegger|Mário Ferreira dos Santos|Christian Wolff (philosopher)|Hugo Grotius"
"Vladimir Mayakovsky","Velimir Khlebnikov|Hamid Olimjon|Frank O'Hara|Hedwig Gorski"
"Neal Stephenson","William Gibson|Daniel Suárez|Charles Stross"
"Richard Avenarius","Alexander Bogdanov|Ernst Mach|William James|Anatoly Lunacharsky"
"Helena Roerich","Ivan Yefremov|Lyudmila Zhivkova|Yuli Vorontsov|Alexey Okladnikov"
"Antonio Labriola","Benedetto Croce|Antonio Gramsci|Amadeo Bordiga"
"Iris M. Zavala","Fernando Lázaro Carreter"
"Evangeline Walton","Edward Plunkett, 18th Baron of Dunsany"
"Bekhud Badayuni","Daagh Dehlvi"
"Isaiah Berlin","Joxe Azurmendi"
"Syed Ahmad Khan","Louis Mountbatten, 1st Earl Mountbatten of Burma|Pervez Musharraf|Politics of Pakistan|Aligarh Muslim University|Ziauddin Ahmad|All-India Muslim League|Pakistan Movement"
"Imre Lakatos","John Worrall (philosopher)|Paul Feyerabend|Alan Chalmers|Jean-Claude Milner|Nancey Murphy"
"Joe Hill (writer)","Richard Matheson"
"Gokulananda Mahapatra","Nikhil Mohan Pattnaik"
"Hubert Selby, Jr.","Henry Rollins|Richard Price (writer)|Dan Fante"
"Matt Cohen (writer)","George Grant (philosopher)"
"Gregory Maguire","T. H. White"
"P. D. James","Ekow Duker|Morag Joss"
"John Grinder","Milton H. Erickson|Stephen Gilligan|Richard Bandler|Brief psychotherapy"
"Gianni Toti","Video poetry"
"Weldon Kees","Larry Levis|Simon Armitage|Franz Wright|Donald Justice"
"Antonio Tabucchi","Fernando Pessoa"
"Greg Bear","Poul Anderson"
"Daniel Defoe","George Orwell|Jonathan Swift|Johann David Wyss|Virginia Woolf"
"Imre Kertész","Tadeusz Borowski"
"H. H. Lewis","William Carlos Williams"
"Richard J. Bernstein","Seyla Benhabib|Robert B. Westbrook|Simon Critchley|Edward S. Casey|Nancy Fraser|Rainer Forst|Andrew Arato"
"George Ripley (alchemist)","Robert Boyle|John Dee"
"Ben Okri","William Blake"
"Karly Gaitán Morales","Sergio Ramírez"
"Thierry Jonquet","Sébastien Japrisot"
"Rudyard Kipling","Robert Louis Stevenson|H. Rider Haggard|Joel Chandler Harris"
"Odo Marquard","Gerd B. Achenbach"
"Bruce Kuklick","Edwin Holt"
"Giovanni Gentile","Benito Mussolini|Benedetto Croce|Ugo Spirito"
"Apuleius","Ovid|Lucian"
"Kevin Brockmeier","Walter Tevis"
"Mateiu Caragiale","Horia Gârbea|Paul Georgescu|Mircea Cărtărescu|Mircea Nedelciu|Ion Barbu|Sandu Tudor"
"Syed Qazi Muzainul Haq","Syed Qazi Ibadul Haq"
"Philip Levine (poet)","John Berryman"
"Joe Abercrombie","George R. R. Martin"
"Richard Popkin","Luciano Floridi"
"George Douglas Brown","Hugh MacDiarmid|Lewis Grassic Gibbon"
"John Clare","Robert Burns"
"Irvine Welsh","William S. Burroughs|Edwin Morgan (poet)|Louis-Ferdinand Céline"
"Peter Geach","Elizabeth Anscombe|Anthony Kenny|Alasdair MacIntyre"
"Mark Leyner","William S. Burroughs"
"A. Merritt","Edgar Rice Burroughs|Gertrude Barrows Bennett|H. P. Lovecraft|Richard Sharpe Shaver|Vladimir Colin|Jack Williamson"
"T. M. Wright","Jack Ketchum"
"Adamantios Korais","Greek War of Independence|Panagiotis Kanellopoulos"
"Rubén Darío","Leconte de Lisle|Octavio Paz|Giannina Braschi"
"Leconte de Lisle","Anatole France|Rainer Maria Rilke|Stéphane Mallarmé|Arthur Rimbaud|Paul Verlaine|Jerzy Żuławski|Rubén Darío|Leopold Staff|Stefan George|Jean Richepin|Sully Prudhomme|Adam Asnyk|Léon Dierx|Catulle Mendès|Auguste Villiers de l'Isle-Adam|François Coppée|Antoni Lange|José-Maria de Heredia"
"Johannes Nikolaus Tetens","Immanuel Kant"
"Angie Debo","Edward Everett Dale|Larry McMurtry|Vine Deloria, Jr.|Oliver La Farge"
"Heraclitus","Aristotle|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|Karl Popper|Oswald Spengler|Parmenides|Plato|Stoicism|Friedrich Engels|Alfred North Whitehead|Martin Heidegger|Terence McKenna|Walter Pater"
"Muhammad Tahir","Muhammad Idrees Dahiri"
"Jacques Rancière","Levi Bryant|Todd May|Ernesto Laclau|Simon Critchley|Slavoj Žižek|Jodi Dean|Kristin Ross"
"Otto Neurath","Vienna Circle|Berlin Circle|John O'Neill (philosopher)"
"Friedrich Hölderlin","Johann Joachim Winckelmann|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|Hermann Hesse|Rainer Maria Rilke|Samuel Beckett|Michel Foucault|Jacques Derrida|Georg Trakl|Martin Heidegger|Theodor W. Adorno|Paul Celan"
"Russell Banks","Jack Kerouac"
"Antonio Gramsci","Gayatri Chakravorty Spivak|Néstor García Canclini|Ernesto Laclau|Edward Said|Alex Callinicos|Carlo Rosselli|Stuart Hall (cultural theorist)|Piero Gobetti|Raymond Williams|Chantal Mouffe|Nicos Poulantzas|Eric Hobsbawm|Giovanni Arrighi"
"Rudolf Otto","Joachim Wach"
"Samuel R. Delany","Roger Zelazny|Theodore Sturgeon"
"Jerzy Grotowski","Pedro Calderón de la Barca|Andrzej Wajda|Hedwig Gorski"
"Hong Dae-yong","Yu Deuk-gong|Pak Je-ga|Park Ji-won"
"David Lewis (philosopher)","Robert Brandom|J. David Velleman|John Hawthorne|L.A. Paul|Theodore Sider|Barry Loewer|Dean Zimmerman|Peter Railton"
"Nicholas of Cusa","Giordano Bruno|Gottfried Wilhelm Leibniz|Roberto Mangabeira Unger|Giovanni Pico della Mirandola|Mário Ferreira dos Santos|Karl Jaspers|Harry Mulisch"
"Semyon Lipkin","Vasily Grossman"
"Georges Perec","Julio Cortázar"
"Derek Parfit","John Cottingham"
"Lin Carter","Edgar Rice Burroughs|Robert E. Howard|L. Sprague de Camp"
"George Berkeley","A. J. Ayer|Arthur Schopenhauer|David Hume|Edmund Burke|Immanuel Kant|John Stuart Mill|Jorge Luis Borges|Samuel Beckett|Ernst Mach|Thomas Reid|Borden Parker Bowne|Francis Bowen"
"Henri Bergson","Gilles Deleuze"
"Thomas Savage (novelist)","Annie Proulx|Thomas McGuane"
"Mark Twain","Miguel de Cervantes|George MacDonald|George Washington Harris|Robert G. Ingersoll|Joel Chandler Harris|Jeff Smith (cartoonist)"
"Henri Pirenne","Annales School"
"Andrei Codrescu","Benjamin Fondane|Urmuz"
"Étienne Bonnot de Condillac","Jean-Jacques Rousseau|Andrés Bello|Claude Adrien Helvétius|Victor Cousin"
"Robert Creeley","William Carlos Williams|New York School (art)|San Francisco Renaissance|Language poets|Black Mountain College"
"Giovanni Pico della Mirandola","Desiderius Erasmus|John Colet|Thomas More"
"Christian Kracht","Bret Easton Ellis"
"K. J. Stevens","Raymond Carver"
"Jovan Rajić","Gavril Stefanović Venclović|Zaharije Orfelin|Dositej Obradović|Jovan Sterija Popović|Sima Milutinović Sarajlija|Dimitrije Davidović|Milovan Vidaković|Ilarion Ruvarac|Danilo Medaković|Serbian historiography"
"Zaki al-Arsuzi","Salah al-Din al-Bitar|Michel Aflaq|Salah Jadid|Hafez al-Assad"
"Emil Cioran","Thomas Ligotti|Nick Land"
"Susan Haack","Luciano Floridi"
"Roland Barthes","Michel Foucault"
"Jimmy Perry","Will Hay"
"Richard Webster (British author)","Gilbert Ryle|Jonathan Gathorne-Hardy"
"Bernard Williams","Martha Nussbaum"
"Alan Sillitoe","Sid Chaplin|Arctic Monkeys"
"Michael Albert","Noam Chomsky"
"Roman Ingarden","Wolfgang Iser|Anna-Teresa Tymieniecka|René Wellek"
"Pothana","Telugu literature"
"Gillian Rose","Geoffrey Hill|Slavoj Žižek|John Milbank|Rowan Williams"
"Riza Talabani","Nalî|Abdurrahman Sharafkandi|Hemin Mukriyani|Abdullah Goran"
"Paul Wheelahan","Stan Pitt"
"Charles Dickens","Henry Fielding|Miguel de Cervantes|Sheridan Le Fanu|Walter Scott|Tobias Smollett"
"Al. T. Stamatiad","Ion Minulescu"
"Robert E. Ornstein","Idries Shah"
"Peter Wessel Zapffe","Thomas Ligotti"
"Lucian Dan Teodorovici","Mircea Nedelciu"
"William Dalrymple (historian)","Eric Newby|Robert Byron"
"Kinoshita Rigen","Nobutsuna Sasaki"
"László Krasznahorkai","Béla Tarr"
"G. K. Chesterton","Robert Louis Stevenson|George MacDonald|William Cobbett|John Ruskin"
"Giuseppe Ungaretti","Eugenio Montale|Mario Luzi|Salvatore Quasimodo|Leonardo Sinisgalli|Alfonso Gatto"
"Richard Cantillon","Victor de Riqueti, marquis de Mirabeau"
"Cheng Yi (philosopher)","Zhu Xi"
"Ivan Turgenev","Gustave Flaubert|Nikolai Gogol|Vissarion Belinsky|Alexander Pushkin|Johann Wolfgang von Goethe|Mikhail Lermontov|Anton Chekhov|Ernest Hemingway|Gustave Flaubert|Joseph Conrad|Vladimir Nabokov|Herman Bang|Truman Capote|Theodor Storm|Henry James|Irène Némirovsky"
"Zlata Filipović","Anne Frank"
"Shirley Hazzard","William Keepers Maxwell, Jr."
"Aelius Aristides","Marcus Aurelius|Philostratus"
"Empedocles","Aristotle|Friedrich Nietzsche|Gorgias|Lucretius"
"Maurice Blanchot","Samuel Beckett"
"Ronald Verlin Cassill","D. H. Lawrence"
"John Dickson Carr","Colin Dexter|Edward D. Hoch|Surender Mohan Pathak|Clayton Rawson|Anthony Boucher|Christopher Fowler|Hake Talbot|Joseph Commings|Paul Halter|Edmund Crispin"
"Pythagoras","Empedocles|Euclid|Johannes Kepler|Parmenides|Plato|Alcmaeon of Croton|Hippasus|Philolaus"
"Palkuriki Somanatha","Telugu literature"
"Claude Henri de Rouvroy, comte de Saint-Simon","John Stuart Mill|Karl Marx|Barthélemy Prosper Enfantin|Pierre-Joseph Proudhon|Thorstein Veblen|Pierre Leroux|Auguste Comte|Péreire brothers"
"Daniele Archibugi","Hyman Minsky|Christopher Freeman"
"Diana Gittins","Joan Busfield"
"Saul Kripke","John P. Burgess"
"Narcís Oller","Caterina Albert|Joan Maragall"
"Guram Dochanashvili","Gustave Flaubert|William Faulkner|Grigol Robakidze|Zaal Samadashvili"
"Guillermo Marín Ruiz","Carlos Castaneda"
"Urmuz","Nichita Stănescu|Constant Tonegaru|Sesto Pals|H. Bonciu|Tudor Mușatescu|Tudor Arghezi|Dimitrie Stelaru|F. Brunea-Fox|Ion Vinea|Romulus Dianu|George Călinescu|Felix Aderca|Marin Sorescu|George Ciprian|Herta Müller|Stelian Tănase|Șerban Foarță|Mircea Cărtărescu|Mircea Dinescu|Ion Călugăru|Grigore Cugler|Iordan Chimet|Nichita Danilov|Sergiu Dan|Ștefan Baciu|Dumitru Țepeneag|Monica Lovinescu|Ilarie Voronca|Geo Dumitrescu|Geo Bogza|Stephan Roll|Leonid Dimov|Anton Holban|Andrei Codrescu|Sașa Pană|Cristian Popescu|Eugène Ionesco|Tudor Gheorghe Țopa|Emil Brumaru"
"Frederik Pohl","Jack Williamson"
"Ahmad Faraz","Urdu poetry"
"Karl von Eckartshausen","Aleister Crowley|Louis Claude de Saint-Martin|A. E. Waite"
"Jo Walton","Roger Zelazny"
"Thomas Hardy","George Meredith|Robert Frost|W. D. Snodgrass|Robinson Jeffers|Philip Larkin|D. H. Lawrence|Siegfried Sassoon|W. H. Auden|John Fowles|John Cowper Powys"
"Adam Weishaupt","Robert Anton Wilson|Percy Bysshe Shelley"
"Donald Davidson (philosopher)","Richard Rorty|John McDowell|Ernest Lepore|Colin McGinn"
"Khin Khin Htoo","Journal Kyaw Ma Ma Lay|Khin Hnin Yu"
"P. F. Strawson","John Searle|Joshua Knobe|Martin Hollis (philosopher)|Ted Honderich|David Lewis (philosopher)|Keith Donnellan|Arda Denkel|Pierre Bourdieu|Colin McGinn|Ramchandra Gandhi"
"R. Scott Bakker","Steven Erikson"
"Haji Dost Muhammad Qandhari","Muhammad Tahir|Muhammad Usman Damani|Jan-Fishan Khan"
"Tamora Pierce","Christopher Paolini"
"Helen Simpson (author)","Ruth Rendell"
"George Barker (poet)","Meary James Thurairajah Tambimuttu"
"John Osborne","Theatre|United Kingdom"
"Benjamin Fondane","Tudor Arghezi|Avram Steuerman-Rodion|Ion Minulescu|Emil Isac|Nichita Stănescu|David Gascoyne|Ilarie Voronca|Andrei Codrescu"
"Jakob Böhme","Arthur Schopenhauer|Georg Wilhelm Friedrich Hegel|William Blake|John Pordage|Friedrich Wilhelm Joseph Schelling|Nikolai Berdyaev|Paul Tillich"
"Gorgias","Plato|Antisthenes|Pericles"
"Carl Schmitt","Jürgen Habermas|Ernst Jünger|Giorgio Agamben|Jaime Guzmán|Jacques Derrida|Copenhagen School (international relations)|Leo Strauss|Walter Benjamin|Antonio Negri|Alain de Benoist|Jacob Taubes|Slavoj Žižek|Chantal Mouffe|Hannah Arendt"
"Zakhar Prilepin","Eduard Limonov"
"Jovan Sterija Popović","Andrija Kačić Miošić|Jovan Rajić|Branislav Nušić|Kosta Trifković"
"Tudor Arghezi","Anton Pann|Urmuz|Alexandru Bogdan-Pitești|Eugen Barbu|Tudor Vianu|Benjamin Fondane|Gala Galaction"
"Păstorel Teodoreanu","Ștefan Baciu|George Lesnea"
"Susan Stryker","Judith Butler"
"Tess Gallagher","Raymond Carver"
"Ghulam Bhik Nairang","Pakistan Movement"
"Karel Hynek Mácha","František Halas|Karel Hlaváček|Josef Hora"
"Truman Capote","Ivan Turgenev|Edgar Lustgarten|Andy Warhol|Harper Lee"
"Bruce Sterling","J. G. Ballard|Chad Oliver|Charles Stross|Alastair Reynolds"
"Robert Byron","William Dalrymple (historian)|Bruce Chatwin"
"Mark Bevir","Alan Finlayson|R. A. W. Rhodes"
"Edmund Husserl","Jean-Paul Sartre|Kurt Gödel|Maurice Merleau-Ponty|Pope John Paul II|Marvin Farber|Dan Zahavi|Bernard Stiegler|Ludwig Landgrebe|Max Scheler|Adolf Reinach|Paul Ricœur|Dallas Willard|Emmanuel Levinas|Jacques Derrida|Edith Stein|Martin Heidegger|Rudolf Carnap|Eugen Fink|Jan Patočka|Hans Blumenberg|Gabriel Marcel|Hans Köchler|Alfred Schütz|Roman Ingarden|José Ortega y Gasset|Leszek Kołakowski|Shaun Gallagher|Hermann Weyl"
"Georg Brandes","Adam Mickiewicz"
"Isaac Asimov","John W. Campbell|Jack Williamson|Karlheinz Steinmüller"
"Roderick Chisholm","Richard Taylor (philosopher)"
"Eve Bunting","Betsy Byars"
"Hugh MacDiarmid","Else Lasker-Schüler|George Douglas Brown"
"Suzanne Briet","Bruno Latour|Michael Buckland|Jesse Shera|S. R. Ranganathan"
"Carl Gustav Hempel","Robert Nozick|Peter Achinstein|Lawrence Sklar|John Earman|Richard Jeffrey|Jaegwon Kim"
"William Golding","Stephen King"
"Immanuel Kant","Arthur Schopenhauer|Charles Sanders Peirce|David Hilbert|Edmund Husserl|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|Johann Gottlieb Fichte|Jürgen Habermas|Max Weber|Noam Chomsky|Robert Nozick|Søren Kierkegaard|P. F. Strawson|Friedrich Heinrich Jacobi|Michel Foucault|Thomas Pogge|Paul Guyer|Martin Heidegger|Theodor W. Adorno|Joxe Azurmendi|T. K. Seung|Western philosophy|Ernst Cassirer|Friedrich Wilhelm Joseph Schelling|Mou Zongsan|John McDowell|Leo Strauss|August Wilhelm Schlegel|John Rawls|Karl Wilhelm Friedrich Schlegel|Georg Simmel|Karl Leonhard Reinhold|Jean Piaget"
"Robert Stone (novelist)","Wallace Stegner|Richard Yates (novelist)|Christian Bauman|Jonathan Lethem|John Shannon (novelist)|Denis Johnson"
"Mikhail Bakunin","Noam Chomsky|Peter Kropotkin|Errico Malatesta"
"Alphonse Daudet","Gustave Flaubert"
"Tobias Smollett","Charles Dickens|George Orwell"
"Dritëro Agolli","Dmitri Kedrin"
"Stephen Elliott (author)","Tobias Wolff"
"Antoni Malczewski","Joseph Conrad|Adam Mickiewicz|Michał Elwiro Andriolli|Leopold Staff|Juliusz Słowacki|Adam Asnyk|Henryk Melcer-Szczawiński|Jan Lechoń|Antoni Lange"
"Ton Satomi","Kyōka Izumi"
"Albert Chavannes","J. William Lloyd|Ida Craddock"
"Mashafi","Urdu poetry"
"Clara Reeve","Mary Shelley"
"Nicos Poulantzas","Bob Jessop|Gayatri Chakravorty Spivak|John Holloway (sociologist)"
"Sheikh Ahmad-e Jami","Jami"
"Henry Sidgwick","Mordecai Kaplan|Peter Singer|R. M. Hare|Alfred Marshall|Derek Parfit|J. J. C. Smart|Hastings Rashdall|John Rawls"
"Horace","Philodemus|Luis de León|Torquato Tasso|Pierre de Ronsard|Garcilaso de la Vega (poet)|Juan Boscán Almogáver"
"Eisuke Yoshiyuki","Jun Tsuji"
"Jacques Ellul","Vernard Eller|Randal Marlin|Paul Virilio|Thomas Merton|Ivan Illich|William Stringfellow|Ted Kaczynski|John Zerzan|Cornelius Castoriadis|Greg Boyd (theologian)|Langdon Winner"
"José Ortega y Gasset","Antonio Machado|María Zambrano|Graham Harman|Olavo de Carvalho|Martin Heidegger|José Antonio Primo de Rivera|Alain de Benoist|Generation of '27|Julián Marías|Mario Vargas Llosa|Xavier Zubiri|José Gaos"
"Arthur C. Clarke","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|Olaf Stapledon|Iain Banks|Stephen Baxter"
"Michael Dummett","Gareth Evans (philosopher)"
"Oton Župančič","France Prešeren|Dragotin Kette|Lili Novy|Alojz Rebula|Josip Vidmar|France Bevk"
"Edward Said","Gayatri Chakravorty Spivak|Christopher Hitchens|Homi K. Bhabha|Robert Fisk|Hamid Dabashi|Rashid Khalidi"
"Johann Eduard Erdmann","Søren Kierkegaard|Ludwig Feuerbach|Kuno Fischer|Karl Ludwig Michelet|Martin Kähler|Albrecht Ritschl|Bruno Bauer"
"Émile Meyerson","Thomas Kuhn|Gaston Bachelard"
"Mahmoud Darwish","Abdel Latif Moubarak|Badr Shakir al-Sayyab|Abd al-Wahhab Al-Bayati"
"Théodore Simon Jouffroy","Victor Cousin"
"Karel Kosík","Reception theory"
"Alberto Arbasino","Carlo Dossi"
"Richard Harding Davis","Sinclair Lewis"
"Bettina von Arnim","Johannes Brahms|Robert Schumann|Johanna Kinkel|Franz Liszt"
"Ronald Dworkin","Jeremy Waldron"
"Patrick Nielsen Hayden","John M. Ford"
"Nicolai Hartmann","Max Scheler|Jitendra Nath Mohanty"
"Alexander Belyaev","Kir Bulychev|Ivan Yefremov|Arkady and Boris Strugatsky"
"Anne Rice","Jane C. Loudon"
"Brian Aldiss","Olaf Stapledon|Iain Banks"
"Juvenal","Martial"
"J. Slauerhoff","Arthur Rimbaud|Luís de Camões|Willem de Mérode|Simon Vestdijk|Gerrit Komrij|Cees Nooteboom"
"Pantazi Ghica","Alexandru Macedonski"
"Reinhard Sorge","August Strindberg"
"Miguel de Cervantes","Voltaire|Charles Dickens|Fyodor Dostoyevsky|Henry Fielding|José Saramago|Miguel de Unamuno|Mark Twain|Graham Greene"
"John Ashbery","John Brooks Wheelwright|Wallace Stevens"
"P. L. Travers","George Gurdjieff"
"Lewis Mumford","Thorstein Veblen|Jonathan Nitzan|Correlli Barnett|Shimshon Bichler"
"Joyce Carol Oates","William Faulkner|D. H. Lawrence|Shannon Bramer|Jonathan Safran Foer|Chris Bohjalian"
"Samuel Taylor Coleridge","Baruch Spinoza|Giambattista Vico|Friedrich Wilhelm Joseph Schelling|Robert Burns|Thomas Browne"
"Howard Zinn","Richard Hofstadter|Sender Garlin"
"Peter Lamborn Wilson","Michael Muhammad Knight"
"Prežihov Voranc","Ivan Potrč|Anton Ingolič|Tone Seliškar|Ciril Kosmač|Miško Kranjec|Mile Klopčič|Lojze Kovačič|France Bevk"
"B. W. Powe","Northrop Frye"
"Giovanni Pascoli","Giacomo Leopardi|Luigi Ugolini|Vanna Bonta"
"Edward Abbey","Robinson Jeffers|Wallace Stegner"
"Zameer Naqvi","Urdu poetry"
"Jürgen Habermas","Claus Offe|Hans-Hermann Hoppe|Axel Honneth"
"Seamus Heaney","Robert Frost|Ted Hughes|Virgil|John Montague (poet)|Owen Sheers|Dennis Nurkse|Medbh McGuckian|Giannina Braschi|Edna O'Brien|Eavan Boland|Paul Muldoon"
"Stéphane Mallarmé","Leconte de Lisle|Claude Debussy|Claude Monet|Paul Auster|Paul Valéry|Paul Verlaine|Anne-Marie Albiach|Octavio Paz|Michael Palmer (poet)|T. S. Eliot|W. B. Yeats|Nicola Chiaromonte|Claude Royet-Journoud|Jean Moréas|Henri Michaux|Pierre Boulez|Alain Badiou"
"Robert B. Westbrook","Richard J. Bernstein"
"Maggie Estep","Hedwig Gorski"
"Asclepiodotus of Alexandria","Damascius"
"Josh Malihabadi","Raza Naqvi Wahi"
"Guillaume Apollinaire","Marquis de Sade"
"Socrates","Aristotle|Plato|Antisthenes|Western philosophy|Aristippus"
"Noah Cicero","Dennis Cooper"
"Anton Ingolič","Prežihov Voranc"
"Georges Palante","Albert Camus|Jean Grenier|Louis Guilloux|Michel Onfray|Renzo Novatore"
"Rafiuddin Raz","Urdu poetry|Ghazal"
"Raymond Carver","Guy de Maupassant|Richard Yates (novelist)|Andre Dubus|Tobias Wolff|Mona Simpson|Mostafa Azizi|Jay McInerney|Tom Perrotta|Haruki Murakami|Robert Altman|K. J. Stevens|Tess Gallagher|J. Jill Robinson|Jayne Anne Phillips|Per Petterson|Richard Ford"
"Robin Blaser","George Bowering|Barrie Phillip Nichol|Erin Mouré|Steve McCaffery|Daphne Marlatt"
"Manon Gropius","Alban Berg|Elias Canetti|Franz Werfel"
"Christopher Smart","Theodore Roethke|Benjamin Britten|Robert Browning"
"Theophrastus","Alexander of Aphrodisias|Peripatetic school|Strato of Lampsacus"
"Porphyry (philosopher)","Arabic|Sossianus Hierocles|Scholasticism|Neoplatonism|Boethius"
"Alojz Rebula","Srečko Kosovel|Boris Pahor|France Balantič|Milan Komar|Dragotin Kette|Oton Župančič|Igor Škamperle|Vinko Ošlak"
"Michael Chabon","Raymond Chandler|Oakley Hall|Jack Vance|Vladimir Nabokov|John Cheever|Richard Yates (novelist)"
"Timothy Williamson","John Hawthorne"
"Emil Petaja","Robert E. Howard|Hannes Bok"
"Johann Friedrich Herbart","Edmund Husserl|Wilhelm Windelband|Antonio Labriola|Immanuel Hermann Fichte|Friedrich Eduard Beneke|Hermann Lotze"
"Alison Bechdel","Paige Braddock|Ellen Forney"
"George Elder Davie","Thomas Reid"
"Mircea Cărtărescu","Mateiu Caragiale|H. Bonciu|Urmuz"
"Juliusz Słowacki","Stefan Florian Garczyński|Antoni Malczewski"
"Edmond Hamilton","Edgar Rice Burroughs|Leigh Brackett"
"Katherine Paterson","Lloyd Alexander"
"C. V. Raman Pillai","C. N. Sreekantan Nair|Uroob|K. M. Panikkar|E. V. Krishna Pillai"
"Simon Vestdijk","J. Slauerhoff"
"Gyula Juhász","Mihály Babits|Attila József"
"H. L. A. Hart","John Gardner (legal philosopher)|Neil MacCormick|Brian Barry|Joseph Raz|John Rawls|John Finnis|Ronald Dworkin"
"John Berryman","Hart Crane|Mark Van Doren|Philip Levine (poet)|Anne Sexton|Robert Lowell|Kevin Young (poet)"
"Marsilio Ficino","Proclus|Gemistus Pletho|John Argyropoulos"
"Ruth Rendell","Sarah Dunant|Martin Edwards (author)|Frances Fyfield|Helen Simpson (author)|Minette Walters"
"Toh Hsien Min","Arthur Yap"
"James Ellroy","Peter Morgan"
"André Malraux","Maurice Barrès"
"José de Almada Negreiros","Fernando Pessoa|Mário de Sá-Carneiro|Álvaro de Campos"
"Roger Tory Peterson","Ludlow Griscom|Edwin Way Teale"
"Pagal Adilabadi","Urdu poetry"
"Marshall McLuhan","Paul Levinson|William Irwin Thompson|Douglas Rushkoff|Wired (magazine)|Abbie Hoffman|Timothy Leary|Terence McKenna|Jean Baudrillard|Neil Postman|Douglas Coupland|Walter J. Ong|Ann Nocenti"
"Andrew Sarris","Michael Phillips (critic)|Kenneth Turan|Armond White|A. O. Scott|J. Hoberman"
"Dennis Potter","Peter Bowker|Steven Bochco"
"Jaroslav Hašek","Joseph Heller|Bohumil Hrabal"
"Charles Bukowski","James Thurber|Knut Hamsun|Robinson Jeffers|D. H. Lawrence|Louis-Ferdinand Céline|Sherwood Anderson"
"Antero de Quental","Fernando Pessoa"
"Joseph Conrad","Agustus Montrose|Ford Madox Ford|Antoni Malczewski|H. Rider Haggard|Ivan Turgenev"
"Jhumpa Lahiri","Vladimir Nabokov|Richard Yates (novelist)|Andre Dubus"
"Pierre Bayle","Voltaire|David Hume|Denis Diderot|Pierre des Maizeaux|Frederick the Great|Giambattista Vico|Marquis de Condorcet|Bernard Mandeville|Pierre Louis Maupertuis|John Toland"
"Jacques Maritain","Mortimer J. Adler|Jean Daujat|John Haddox|Ivan Illich|Yves Congar|Yves Simon|John F. X. Knasas"
"Howard Nemerov","Owen Barfield"
"Jeaniene Frost","Dean Koontz|Stephen King|Bertrice Small|Laurell K. Hamilton"
"Marguerite Yourcenar","Julius Evola"
"Ernesto Laclau","Slavoj Žižek"
"Qalandar Baba Auliya","Khwaja Shamsuddin Azeemi"
"Anatole France","Leconte de Lisle"
"Dante Alighieri","Ovid|Virgil|Boethius"
"Julian Tuwim","Leopold Staff"
"Ágnes Heller","Andrew Arato"
"Alasdair Gray","Iain Banks|Anthony Burgess|A. L. Kennedy|Will Self"
"Jonathan Kozol","William Styron"
"Juan Rulfo","Daniel Sada|Roberto Bolaño|Élmer Mendoza|Carlos Fuentes|Gabriel García Márquez"
"Alexander Pruss","Robert Koons"
"Peter Sloterdijk","Bruno Latour"
"Nizami Ganjavi","Sanai|Rumi|Amir Khusrow|Vahshi Bafqi|Jami|Jamali|Hafez|Hatefi|Fuzûlî|Saadi Shirazi|Ali-Shir Nava'i|Ahmad Khani|Khwaju Kermani"
"Octavio Paz","Fernando Pessoa|Stéphane Mallarmé|Antonio Machado|Rubén Darío|D. H. Lawrence|Gustavo Adolfo Bécquer|Eliot Weinberger|Ilan Stavans|Guillermo Sheridan|Carlos Fuentes|Charles Tomlinson"
"Kostis Palamas","Ion Dragoumis"
"Max Horkheimer","Jürgen Habermas|Erich Fromm|Theodor W. Adorno|Walter Benjamin|Herbert Marcuse"
"J. Hoberman","Manny Farber|Andrew Sarris"
