"author","influencedby"
"Robert Weinberg (author)","Robert E. Howard"
"Tariq Ramadan","Muhammad Asad"
"Evelyn Underhill","Rudolf Christoph Eucken"
"T. R. Subba Rao","A. N. Krishna Rao"
"Fredric Jameson","Theodor W. Adorno|Slavoj Žižek"
"Sidney Hook","Morris Raphael Cohen"
"James Dickey","Theodore Roethke"
"Alvin Pang","Edwin Thumboo"
"Strato of Lampsacus","Theophrastus"
"Georg Henrik von Wright","Oswald Spengler"
"Victor Hugo","Walter Scott|Giada Trebeschi"
"Robert G. Ingersoll","Thomas Paine"
"Chinua Achebe","Ekow Duker"
"Francis Hutcheson (philosopher)","John Locke"
"Pablo Neruda","Alexander Pushkin"
"Alvin Plantinga","Thomas Reid|Bas van Fraassen"
"John Milton","John Pory|Ovid|Virgil|Hugo Grotius"
"Charles Perrault","Count Franz Pocci"
"Herbert Marcuse","Georg Wilhelm Friedrich Hegel|Max Horkheimer|Charles Fourier|Martin Heidegger|Theodor W. Adorno"
"Georges Simenon","Binet-Valmer|Edmond Locard"
"Rick Moody","Robert Coover|John Cheever|Amy Hempel"
"Stanley Elkin","William Gaddis"
"Mario Kopić","Giorgio Agamben|Martin Heidegger|Gianni Vattimo|Hannah Arendt"
"Will Self","J. G. Ballard|William S. Burroughs|Alasdair Gray|Louis-Ferdinand Céline"
"Laurell K. Hamilton","Robert E. Howard"
"Roberto Saviano","Julius Evola"
"Carl F. H. Henry","Gordon Clark"
"Salvatore Quasimodo","Giuseppe Ungaretti"
"Karl Leonhard Reinhold","Immanuel Kant|Salomon Maimon"
"Howard Waldrop","Chad Oliver"
"Richard Tarnas","Rudolf Steiner"
"Naomi Wolf","Abbie Hoffman"
"Friedrich Engels","Georg Wilhelm Friedrich Hegel|Heraclitus|Jean-Jacques Rousseau|Ludwig Feuerbach|Max Stirner|Bruno Bauer"
"Wallace Stevens","George Santayana"
"Yevgeny Zamyatin","Nikolai Leskov"
"Lawrence Ferlinghetti","Kenneth Patchen"
"Alastair Reynolds","Bruce Sterling|Joan D. Vinge"
"Michel Onfray","Albert Camus|Democritus|Epicurus|Julien Offray de La Mettrie|Émile Armand|Diogenes of Sinope|Michel de Montaigne|Han Ryner|Georges Palante|Aristippus|Baron d'Holbach"
"Maurice Blondel","Émile Boutroux|Maine de Biran"
"Cora Diamond","Ludwig Wittgenstein|Stanley Cavell"
"Gregory Benford","Poul Anderson"
"Henri Lefebvre","Kostas Axelos"
"Katherine Mansfield","George Gurdjieff|Beatrice Hastings"
