"author","influencedby"
"William James","Blaise Pascal|David Hume|John Stuart Mill|Ralph Waldo Emerson|Alexander Bain|Christoph von Sigwart|Ernst Mach|Thomas Reid|Gustav Fechner|Pierre Janet|David Hartley (philosopher)|Richard Avenarius|F. C. S. Schiller|Jules Lequier|African Spir|Charles Bernard Renouvier|Hermann Lotze"
"František Halas","Karel Hynek Mácha"
"John Pory","Richard Hakluyt"
"Paulo Coelho","William Blake|Christina Lamb"
"Bentley Little","Dean Koontz|Carlo Wolff"
"Ziya Gökalp","Émile Durkheim"
"Aleš Šteger","Alojz Gradnik|Tomaž Šalamun|Aleš Debeljak"
"Odysseas Elytis","Ion Dragoumis"
"Ibn-e-Safi","Mazhar Kaleem"
"John Gardner (legal philosopher)","H. L. A. Hart|Joseph Raz"
"Väinö Linna","Erich Maria Remarque"
"Baburao Bagul","Namdeo Dhasal"
"Prosper Mérimée","Alexander Pushkin"
"Eugen Barbu","Tudor Arghezi"
"Shūzō Kuki","Martin Heidegger"
"Almeida Garrett","Laurence Sterne|Gil Vicente|Luís de Camões"
"Kenzaburō Ōe","William Blake"
"Colin Dexter","John Dickson Carr"
"A. J. Ayer","David Hume|George Berkeley|Gilbert Ryle|C. D. Broad"
"Susan Hill","Jeanette Winterson"
"Ch'ien Mu","Lü Simian|Zhu Xi"
"Paul Georgescu","Mateiu Caragiale"
"Ignacio Ellacuría","Xavier Zubiri"
"Christopher Fowler","John Dickson Carr"
"Gualtiero Piccinini","David Chalmers"
"Iain McGilchrist","John Cutting (psychiatrist)"
"Matthew Stover","Robert E. Howard"
"Wilhelm Windelband","Kuno Fischer|Hermann Lotze|Johann Friedrich Herbart"
"Richard Adams","Ronald Lockley"
"Kenneth Grahame","Joel Chandler Harris"
"Norman Mailer","George Eliot|William S. Burroughs"
"Arda Denkel","P. F. Strawson"
"Molière","Giordano Bruno|Giada Trebeschi"
"Sully Prudhomme","Leconte de Lisle"
"Eugene O'Neill","August Strindberg"
